trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-182.78171760333086,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-104.15950817241729,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-171.40020947509004,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-210.7349341348197,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-139.3920163628128,"{0: 15, 1: 4, 2: 8, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-82.95804152304322,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-140.21336285963122,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-102.1922867889927,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-144.02522610942015,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,-33.38301666879252,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-101.87612998190662,"{0: 27, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,10,7.409692117353072,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-16.016536049241694,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,13,-56.87820069088618,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,7,-43.683811364247084,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-34.318618866648116,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-23.255861981199867,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-35.64912842702,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,4,-43.2103633721135,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-47.361448335313554,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-49.137934860588516,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,9,-108.72800034540475,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",20,0,-60.3230107721383,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-111.63557625398198,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-40.343420036028824,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,15,-4.395464211870136,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-55.00237193595799,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-58.785906621884685,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-38.310547706185076,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,8.969813026197063,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
