trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9900498337491681}",20,0,-89.2400560852487,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.9801986733067553}",30,7,-174.02991241551052,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 2}",1
3,False,"{'a': 0.2, 'e': 0.9704455335485082}",25,0,-72.67876334457694,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.9607894391523232}",20,0,-100.90150627027644,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.951229424500714}",20,0,-102.22714977592118,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9417645335842487}",20,0,-98.86118031220371,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-165.30938298363176,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.2, 'e': 0.9231163463866358}",25,6,-166.7327352243822,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 2}",1
9,False,"{'a': 0.2, 'e': 0.9139311852712282}",20,0,-73.89175788319307,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-68.62710688567606,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.8958341352965282}",20,0,-172.3146222404637,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-72.30353621844847,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8780954309205613}",20,0,-79.37853421184373,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.8693582353988059}",25,0,-88.94713561579162,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.8607079764250578}",30,0,-137.1113079713918,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.8521437889662113}",25,0,-47.7695534228861,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.8436648165963837}",25,0,-165.34541295368726,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.2, 'e': 0.835270211411272}",25,0,-245.97971308410126,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
19,False,"{'a': 0.2, 'e': 0.8269591339433623}",30,0,-183.95410329330304,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.2, 'e': 0.8187307530779818}",30,9,-103.44300043934035,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 1}",1
21,False,"{'a': 0.2, 'e': 0.8105842459701871}",35,0,-125.6574644524193,"{0: 20, 1: 5, 2: 8, 3: 2, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.8025187979624785}",20,0,-98.40900766308971,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.794533602503334}",25,0,-43.04545597885621,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.7866278610665535}",25,0,-99.72348442504372,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.7788007830714049}",25,9,1.6541714010963005,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.7710515858035663}",35,0,-185.099320426755,"{0: 22, 1: 1, 2: 8, 3: 2, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.7633794943368531}",30,0,-59.048506857170274,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.7557837414557255}",20,0,-47.07776464074448,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.7482635675785653}",25,0,-66.5269156233597,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.7408182206817179}",25,0,-123.96826781955743,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.7334469562242892}",25,11,10.155257814333151,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.7261490370736909}",35,0,-324.7948290780463,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 5}",0
33,False,"{'a': 0.2, 'e': 0.7189237334319262}",20,0,-102.16051755055818,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.2, 'e': 0.7117703227626097}",20,0,-56.70310270035051,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.7046880897187134}",25,0,-82.0857676582452,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.697676326071031}",25,13,-28.545682029325523,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.6907343306373547}",20,0,-77.24227356651772,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.2, 'e': 0.6838614092123558}",20,0,-19.29340785835479,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.2, 'e': 0.6770568744981647}",20,0,-60.34989136476304,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
40,False,"{'a': 0.2, 'e': 0.6703200460356393}",20,0,-61.050953506720596,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.6636502501363194}",25,13,-56.69952016922374,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
42,False,"{'a': 0.2, 'e': 0.6570468198150567}",25,12,-92.69066003037541,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
43,False,"{'a': 0.2, 'e': 0.6505090947233165}",25,0,-64.82537957524683,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.2, 'e': 0.6440364210831414}",20,3,-89.78439239219955,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
45,False,"{'a': 0.2, 'e': 0.6376281516217733}",20,0,-57.66091456306338,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.631283645506926}",30,0,-198.2854393856589,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
47,False,"{'a': 0.2, 'e': 0.6250022682827008}",25,9,-48.228902395962365,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
48,False,"{'a': 0.2, 'e': 0.6187833918061408}",20,0,-152.72699993955513,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
49,False,"{'a': 0.2, 'e': 0.6126263941844161}",20,0,-103.72294106439345,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.6065306597126334}",30,3,-79.48771841365611,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 1}",1
51,False,"{'a': 0.2, 'e': 0.6004955788122659}",25,3,-66.76668421123357,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
52,False,"{'a': 0.2, 'e': 0.5945205479701944}",20,5,-32.00902422035023,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.5886049696783552}",25,0,-87.10158139722061,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.5827482523739896}",20,0,-30.9170868904982,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.5769498103804866}",25,0,-37.74505839592268,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.2, 'e': 0.5712090638488149}",20,0,-17.357040147894164,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.5655254386995371}",30,0,-123.10529334379538,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.2, 'e': 0.559898366565402}",30,0,-110.2288245749699,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.2, 'e': 0.5543272847345071}",35,0,-111.67266252401467,"{0: 26, 1: 1, 2: 5, 3: 2, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.5488116360940265}",30,0,-149.1939846703454,"{0: 19, 1: 3, 2: 2, 3: 5, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.5433508690744998}",20,0,-5.743253744368067,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.5379444375946745}",20,12,3.1755308973917815,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.5325918010068972}",25,0,-49.68164782881666,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.2, 'e': 0.5272924240430485}",30,3,-35.06850040158522,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.522045776761016}",20,0,-136.96393639916104,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",1
66,False,"{'a': 0.2, 'e': 0.5168513344916992}",25,0,-25.001286475844065,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.2, 'e': 0.5117085777865424}",25,0,-58.18130229040694,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
