trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-244.71452686136317,"{0: 11, 1: 1, 2: 7, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-152.11262572654687,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-90.81309475897108,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-90.73847263424578,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-59.61187235683377,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-131.01463383887662,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-229.0924007014784,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,11,4.063429925393796,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-164.891266490304,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-230.93212172766187,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,6,-121.5826453915881,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-146.16649928597107,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-134.44113924934075,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-184.92697735362557,"{0: 14, 1: 0, 2: 6, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-119.7530887860007,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-174.31891836055624,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-134.21313428034114,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-125.78515581999031,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-134.78856473022879,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-141.97977734428463,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-64.60526033532385,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,14,4.600267600173757,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-78.9377978172981,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-111.72528203353741,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-94.21090006104322,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-25.577921280770056,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,11,-18.74769596900599,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-123.54967740110143,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-111.99635848097515,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-200.1756839941082,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
