Ticker Symbol,Earnings Before Interest and Tax,Gross Profit,Intangible Assets,Net Income,Operating Income,Pre-Tax ROE,Research and Development,Total Assets,Total Equity,Total Liabilities,Total Revenue,For Year,Earnings Per Share
AAL,-1813000000,14356000000,869000000,-1876000000,148000000,31,0,23510000000,-7987000000,24891000000,24855000000,2012,-5.6
AAL,-1324000000,15724000000,2311000000,-1834000000,1399000000,80,0,42278000000,-2731000000,45009000000,26743000000,2013,-11.25
AAL,4099000000,27030000000,2240000000,2882000000,4249000000,159,0,43225000000,2021000000,41204000000,42650000000,2014,4.02
AAL,5496000000,29894000000,2249000000,7610000000,6204000000,82,0,48415000000,5635000000,42780000000,40990000000,2015,11.39
AAP,657915000,3098036000,28845000,387670000,657315000,52,0,4613814000,1210694000,3403120000,6205003000,2012,5.29
AAP,663016000,3252146000,49872000,391758000,660318000,41,0,5564774000,1516205000,4048569000,6493814000,2013,5.36
AAP,854802000,4453613000,748125000,493825000,851710000,39,0,7962358000,2002912000,5959446000,9843861000,2014,6.75
AAP,818296000,4422772000,687125000,473398000,825780000,31,0,8134565000,2460648000,5673917000,9737018000,2015,6.45
AAPL,50155000000,64304000000,4179000000,37037000000,48999000000,41,4475000000,2.07E+11,1.23549E+11,83451000000,1.7091E+11,2013,40.03
AAPL,53483000000,70537000000,4142000000,39510000000,52503000000,48,6041000000,2.31839E+11,1.11547E+11,1.20292E+11,1.82795E+11,2014,6.49
AAPL,72515000000,93626000000,3893000000,53394000000,71230000000,61,8067000000,2.90345E+11,1.19355E+11,1.7099E+11,2.33715E+11,2015,9.28
AAPL,61372000000,84263000000,3206000000,45687000000,60024000000,48,10045000000,3.21686E+11,1.28249E+11,1.93437E+11,2.15639E+11,2016,8.35
ABBV,5809000000,13872000000,2323000000,5275000000,5817000000,1636,2778000000,27008000000,-350000000,27358000000,18380000000,,
ABBV,5610000000,14209000000,1890000000,4128000000,5664000000,119,2855000000,29198000000,4492000000,24706000000,18790000000,2013,2.58
ABBV,2760000000,15534000000,1513000000,1774000000,3411000000,136,3297000000,27513000000,1742000000,25771000000,19960000000,2014,1.11
ABBV,7331000000,18359000000,19709000000,5144000000,7537000000,168,4285000000,53050000000,3945000000,49105000000,22859000000,2015,3.15
ABC,898355000,2507819000,3499713000,433707000,898399000,36,0,18918638000,2319745000,16598893000,87959167000,2013,1.88
ABC,753497000,2982366000,3481744000,274230000,782091000,34,0,21532183000,1956899000,19575284000,1.19569127E+11,2014,1.22
ABC,378000000,3529313000,1993119000,-138165000,422220000,44,0,27962982000,616386000,27346596000,1.35961803E+11,2015,-0.62
ABC,1530822000,4272606000,2967849000,1427929000,1525774000,65,0,33656200000,2129404000,31526796000,1.46849686E+11,2016,6.73
ABT,100000000,10151000000,8588000000,5963000000,1360000000,1,1461000000,67235000000,26721000000,40514000000,19050000000,2012,3.76
ABT,2186000000,10464000000,5735000000,2576000000,2133000000,8,1371000000,42953000000,25171000000,17782000000,19657000000,2013,1.64
ABT,2668000000,11029000000,6198000000,2284000000,2599000000,12,1345000000,41207000000,21526000000,19681000000,20247000000,2014,1.5
ABT,3346000000,11658000000,5562000000,4423000000,2867000000,15,1405000000,41247000000,21211000000,20036000000,20405000000,2015,2.94
ADBE,423649000,3468683000,605254000,289985000,422723000,5,826631000,10380298000,6724634000,3655664000,4055240000,2013,0.58
ADBE,421108000,3524985000,469662000,268395000,412685000,5,844353000,10785829000,6775905000,4009924000,4147065000,2014,0.54
ADBE,937965000,4051194000,510007000,629551000,903095000,12,862730000,11726472000,7001580000,4724892000,4795511000,2015,1.26
ADBE,1505580000,5034522000,414405000,1168782000,1493602000,19,975987000,12707114000,7424835000,5282279000,5854430000,,
ADI,842425000,1692411000,28552000,673487000,753075000,17,513035000,6381750000,4739576000,1642174000,2633689000,2013,2.19
ADI,764129000,1830188000,671402000,629320000,752484000,15,559686000,6859690000,4757897000,2101793000,2864773000,2014,0.35
ADI,837144000,2259262000,583517000,696878000,830841000,16,637459000,7058777000,5072959000,1985818000,3435092000,2015,0.31
ADI,1045678000,2227173000,549368000,861664000,1028112000,19,653816000,7970278000,5165618000,2804660000,3421409000,2016,0.96
ADM,2426000000,3623000000,759000000,1375000000,1715000000,10,0,45136000000,18920000000,26005000000,90559000000,,
ADM,2437000000,3889000000,561000000,1342000000,1871000000,10,0,43752000000,20156000000,23558000000,89804000000,2013,2.03
ADM,3467000000,4768000000,3392000000,2248000000,2756000000,16,0,43997000000,19575000000,24367000000,81201000000,2014,3.44
ADM,2592000000,4020000000,3688000000,1849000000,1810000000,13,0,40157000000,17899000000,22242000000,67702000000,2015,2.99
ADS,974364000,1249299000,582874000,422256000,974364000,129,0,12000139000,528487000,11471652000,3641390000,2012,8.44
ADS,1098912000,1424146000,460404000,496170000,1098912000,93,0,13244257000,855761000,12388496000,4319063000,2013,10.09
ADS,1098467000,1658961000,1515994000,506293000,1098467000,35,0,20263977000,2396380000,17867597000,5302940000,2014,8.72
ADS,1261860000,1957046000,1203745000,596541000,1261860000,46,0,22421830000,2010030000,20411800000,6439746000,2015,8.91
ADSK,310000000,2073700000,76000000,247400000,305900000,15,600000000,4308400000,2043200000,2265200000,2312200000,2013,1.09
ADSK,284800000,1999600000,63100000,228800000,284800000,12,611100000,4595000000,2261500000,2333500000,2273900000,2014,1.02
ADSK,120700000,2170100000,86500000,81800000,120700000,4,725200000,4909700000,2219200000,2690500000,2512200000,2015,0.36
ADSK,1300000,2133400000,70800000,-330500000,1300000,1,790000000,5515300000,1619600000,3895700000,2504100000,2016,-1.46
AEE,1221000000,2304000000,14000000,-974000000,1188000000,13,0,22230000000,6616000000,15614000000,5781000000,2012,-4.01
AEE,1227000000,2348000000,0,295000000,1184000000,13,0,21042000000,6544000000,14498000000,5838000000,2013,1.19
AEE,1311000000,2467000000,0,592000000,1254000000,14,0,22289000000,6713000000,15576000000,6053000000,2014,2.42
AEE,1303000000,2597000000,0,636000000,1259000000,14,0,23640000000,6946000000,16694000000,6098000000,2015,2.6
AEP,2810000000,8550000000,0,1259000000,2656000000,12,0,54367000000,15237000000,39130000000,14945000000,2012,2.6
AEP,2983300000,8091200000,0,1484200000,2822500000,13,0,56414000000,16085000000,40329000000,14813500000,2013,3.04
AEP,3270900000,8692900000,0,1638000000,3127400000,14,0,59544600000,16820200000,42724400000,16378600000,2014,3.34
AEP,3496800000,9019700000,0,2052300000,3333500000,15,0,61683100000,17891700000,43791400000,16453200000,,
AFL,4563000000,8290000000,0,2866000000,4302000000,27,0,1.31094E+11,15978000000,1.15116E+11,25364000000,2012,6.14
AFL,5109000000,8598000000,0,3158000000,4816000000,33,0,1.21307E+11,14620000000,1.06687E+11,23939000000,2013,6.8
AFL,4808000000,8355000000,0,2951000000,4491000000,24,0,1.19767E+11,18347000000,1.0142E+11,22728000000,2014,6.54
AFL,4151000000,7823000000,0,2533000000,3862000000,22,0,1.18296E+11,17708000000,1.00588E+11,20872000000,2015,5.88
AIG,5210000000,33469000000,0,3438000000,2891000000,3,0,5.48633E+11,98002000000,4.50631E+11,71214000000,2012,
AIG,11510000000,34214000000,0,9085000000,9368000000,9,0,5.41329E+11,1.0047E+11,4.40859E+11,68874000000,2013,6.16
AIG,12219000000,30795000000,0,7529000000,10501000000,10,0,5.15581E+11,1.06898E+11,4.08683E+11,64406000000,2014,5.27
